text,sentiment,concept,subjective/objective,country
… anyway… the car save the one inside the car too… so it was the right decision to buy that electric car!,positive,Build & Comfort,subjective,Unknown
"Time for an electric car, anyone got Elons number?",neutral,Software/Tech,objective,Unknown
"CLEAN ENERGY RETORT™ /
RETORT /

      Cars Sit 96% Daily...
      80% Of You Drive Less Then 40 Miles / Daily... 
      Greater Then 11 Billion Level 1, 120V (1.5 kW) Outlets; Baseline #EV Charging Outlets In North America... 
      Daily Home / Work L1 #ParkCharging",neutral,Charging,objective,United States
"50% of EV charging is already renewable, increasing all the time.

Are you saying diesel and petrol fumes don't cause respiratory illnesses? Will add some emojis:",neutral,Sustainability,objective,Unknown
"Battery electric won't cut...................piston, oil and steal",neutral,Sustainability,objective,Unknown
Electric vehicles are the answer,neutral,Cost & Value,objective,Unknown
Electric vehicles are the future,neutral,Software/Tech,objective,Unknown
"You missed the point I think.  Those have been around for over a decade with no noticeable difference to road quality.  Suddenly we have an influx of heavy electric cars.  I'm not bashing electric, I had a Tesla and was by far the best car I've ever had.",positive,Software/Tech,subjective,Unknown
A traditional fossil fuel car is completely superior to electric cars in every way.,negative,Sustainability,subjective,Unknown
"Not just Green hydrogen, moving Freight traffice from road to train is the cheapest way of replacing diesel.
DFC's + hydrogen (Green+Brown) + Ethanol + Electric Vehicles + Electric buses+ Bio Diesel + Methanol from Coal shud save us atleast 2 million barrels per day thats $50B",positive,Cost & Value,subjective,United States
Just wondering… how do they charge the electric vehicles? Solar? Wind? Or is it the main grid powered by……..?,neutral,Charging,subjective,Unknown
"You are drawing a very long bow with your unfounded assertions.

Also, why do you seem to have a problem with electric vehicles, Chinese or otherwise?

Following are:
Grok’s thoughts on your posting
Grok’s analysis of the impact of the Middle East conflict

++++++++++

Grok’s",negative,Cost & Value,subjective,China
Tim is obviously unaware that people are struggling to pay their electricity bill and put food on their tables. Is he giving away these electric vehicles?,neutral,Cost & Value,subjective,Unknown
"So with all the high PLF solar hybrids, Electric vehicle momentum...who controls the critical component supply chain? Unlike Petrol, it is a monopoly here. What if that adversary choke the supply that too at a critical juncture or in case of hostility?",positive,Cost & Value,subjective,Unknown
"That’s a smart step toward frictionless EV infrastructure.
Summoning a mobile charger through a phone app turns parking into a seamless charging experience, showing how automation and smart energy systems are quietly redefining convenience for electric vehicle drivers.",neutral,Charging,subjective,Unknown
"Thank you, Mr. Musk, but I do not like electric cars. Please donate it to a charity of your choice. Likewise, please do the same with the money. That amount could seriously jeopardize my peace of mind and the harmonious relationships I have with friends and family, warm regards.",neutral,Cost & Value,subjective,Unknown
"Heard a story from a German car manufacturer that a lot of gasoline engines in hybrid cars break, because people don’t use them. They use them as a cheap electric car. Replacing the gasoline engines is quite pricey though…",neutral,Cost & Value,subjective,Unknown
"Tesla isn’t just an electric car, and that’s why it’s so successful. It’s the BEST car. It’s the HIGHEST TECH car. This is what the automotive cabal at GM, Stellantis, Ford failed to understand – Tesla’s not just “another EV” and never has been.

It’s the car of the future – now.",positive,Software/Tech,subjective,Unknown
Electric cars can’t go through carwashes,neutral,Cost & Value,objective,Unknown
Sir Do you use Petrol or Electric car ?,neutral,Cost & Value,subjective,Unknown
"Imagine having enough disposable income to just honour and buy a new electric car
Then we can charge it with our solar panels at night like Albo said 
Also electric cars are ugly and lame.",neutral,Cost & Value,subjective,Unknown
"In parts of Guangzhou, China, some parking garages now use robotic EV charging systems. Instead of drivers looking for a charger, the charger comes to the car.",neutral,Charging,subjective,China
That’s why they’re pushing electric cars on us,neutral,Cost & Value,objective,United States
Women are slow to adopt electric cars,neutral,Cost & Value,subjective,Unknown
"It's from Tyler Perry's ""Divorced Sistas"" (BET+ series). The scene with Rasheeda staying in the electric car overnight over the door thing.",neutral,Cost & Value,objective,Unknown
"A large portion of corn in the US is grown for ethanol (35-50%). It is researched to be more efficient to use that farm land for solar and then drive electric cars. 

Need an electric car that isn't garbo in one way or another though.",positive,Range & Battery,subjective,United States
No! Not an electric car fan.,neutral,Cost & Value,subjective,Unknown
"what is alternative?
electric car is more difficult to maintain",neutral,Cost & Value,subjective,Unknown
"Even with 150 billion barrels in stockpile, that’s one barrel per person lol.

Your military doesn’t run on solar power.
It doesn’t even run on nuclear.

It runs on diesel and kerosene.

All those solar panels, electric cars, wind farms require OIL to manufacture & maintain lmfao",neutral,Sustainability,subjective,Unknown
"If they had converted to wind, solar and electric vehicles they wouldn't be in this bind...",neutral,Cost & Value,objective,Unknown
In Denmark the market share of Electric Cars was also more than 80% in December 2025,neutral,Cost & Value,objective,Denmark
Electric Car Apartment Parking | Common Charging Issue,neutral,Charging,subjective,Unknown
Should buy electric car or cng petrol car?,neutral,Cost & Value,subjective,Unknown
"reminder: electric vehicles don’t solve the issue, they replace oil with metal and minerals and lithium — which are driving the exploitation and genocide in the Congo btw.",neutral,Range & Battery,objective,Congo
"You know, I actually heavily support Tesla and its companies. While Musk may have difficulties speaking to the public, absolutely no one can discount the work they've done to propell the electric car, space and even satellite tech.

Starlink is the greatest tool released when it",neutral,Software/Tech,subjective,Unknown
"4/  The EV revolution is a Copper revolution:

Traditional car: 20kg of copper
Electric vehicle: 80kg of copper
Charging station: 10kg of copper

Global EV production is exploding.
But Copper mines take 10-15 years to build.",neutral,Charging,objective,Unknown
Sadly the Cobalt mines are worse but Many didn't think of that when they where pushing electric vehicles.,neutral,Cost & Value,subjective,Unknown
They're not Canadians yet but once they finish school and over stay their visas they will be granted  citizenships and a brand new Chinese electric car and rainbow unitards and live in our homes that were foreclosed on,neutral,Build & Comfort,subjective,China
People with electric cars are laughing at you right now.,positive,Cost & Value,subjective,Unknown
Electric car owners waking up this morning:,neutral,Cost & Value,objective,Unknown
"As per Ministry of Power EV Charging Guidelines, home charging from personal meters is permitted. I am willing to install via authorized technicians with proper safety systems and even increase my sanctioned load if required.",neutral,Build & Comfort,subjective,Unknown
Chris Bowen said that we should all get electric cars,neutral,Cost & Value,subjective,Unknown
"oil companies can do the same they can stop selling us gas and we wont be able to drive.

My coworker has a tesla & solar pannels in her home. She doesn’t pay gas or for electricity. She charges her car for free. 

Thats why oil companies hate electric cars.",neutral,Sustainability,subjective,United States
Electric cars are no good in regional and rural roads.,negative,Cost & Value,subjective,Unknown
You know this is the first time I realized there's a connection between the TW conflict scenario and Chinese push for electric vehicles. It's all about not being dependent on global shipping for energy.,neutral,Cost & Value,subjective,China
"That’s a glimpse of how automated mobility is evolving.
Seeing systems like this in Guangzhou shows how robotics and smart infrastructure are starting to reshape everyday EV charging into something seamless and fully hands-free.",neutral,Charging,subjective,Unknown
"Company Overview

SEDEMAC designs, manufactures and supplies control-intensive ECUs to major OEMs.

Products control critical vehicle functions.

Key markets:

• 2W / 3W vehicles
• Electric vehicles
• Industrial generators
Most products are mission-critical, making",neutral,Cost & Value,subjective,Unknown
How do i drive my electric car there?,neutral,Performance,subjective,Unknown
I’m surprised all the electric car drivers aren’t laughing out loud because the cost of their solar hasn’t changed.,neutral,Cost & Value,subjective,Unknown
"The power grid can't support electric vehicles on a large scale.

Also, if what happened in 2022 is any indication, California will be rationing their electricity by telling people to charge their vehicles every other day, or just not drive.",neutral,Charging,objective,United States
Me with the solar panels and electric car,neutral,Cost & Value,objective,Unknown
"1) EV CHARGING STATION 

2) ELECTRIC VEHICLE

3) FAST CHARGING 

#BPCL #Contest 
#CanYouGuess 
#WordChallenge

@BPCLimited
 
Join 
@Angel_queen78
 
@Poojapayak22
 
@mysterioussu",neutral,Charging,subjective,Unknown
"The problem being , off street parking doesn't mean access to your own power source for charging. Flats, communal parking, even nominated parking. Only those with adjacent private driveways have the easy option for EV charging",negative,Charging,subjective,Unknown
"I would never buy and electric car. They can turn it off, take control of it and lock you inside while you burn alive. No thank ill take a old ass car from the 90s",neutral,Cost & Value,subjective,Unknown
"Think about it, all the projects / products Elon is developing, that can be interlinked .... Electric cars & Tesla Robots (can used anywhere), StarLink for comms, Neuralink to connect people to technology & each other, Boring company to build underground, AI ... what's next ?",neutral,Software/Tech,subjective,Unknown
"I'm not going to comment on the quality of a Tesla, that's been done to death lol. I just want to know why it's so f***ing ugly? Just  b/c it's an electric car doesn't mean it can't look good. It looks like a pretend car some kids made with cardboard and tin foil.",neutral,Software/Tech,subjective,Unknown
Mainland Chinese electric vehicles?,neutral,Cost & Value,objective,China
"The carbon footprint of an electric car is nearly double that of a gasoline model and that just the manufacturer of said vehicle. And where does most of the electricity come from, coal or natural gas!",neutral,Sustainability,subjective,Unknown
"In the context of a weak real estate market, reduced investment in infrastructure construction, and vigorous development of electric vehicles, overcapacity in steel and refining is inevitable.",neutral,Cost & Value,subjective,Unknown
"Weird shit ha, petrol prices go up Ev charging goes down . Love it",positive,Cost & Value,subjective,Unknown
"It is ironic isn't it, that people are spending an arm and a leg  in order to  buy electric vehicles to save the planet, and powers that be are hell bent on destroying not just land mass but oceans as well?",neutral,Cost & Value,subjective,Unknown
"Thank you but I no longer drive and I do like you Mr Musk but I really don’t like electric cars, I’m old school I like the old muscle cars but thanks for the offer,",positive,Performance,subjective,Unknown
"Meanwhile, EV charging stations all over Southern California sit completed, but un-energized, by 
@LADWP
 & SoCal 
@SCE
 Edison",neutral,Charging,objective,United States
"Haha, perfect call. That Martian gravel pit is basically begging for the first Supercenter parking lot. Low-g shopping carts would be legendary. Just add some EV charging for the Starship fleet.",positive,Charging,subjective,Unknown
Gonna have $8 gas by next winter and the grid ain’t gonna be able to handle it if everyone gets an electric car lol,neutral,Charging,subjective,Unknown
"I personally don’t want any in Haida Gwaii, but we do have I think 5 EV charging stations, and I think almost 60 on the hwys leading to Haida Gwaii.",neutral,Charging,subjective,Unknown
Cobalt for Phone and electric car batteries,neutral,Range & Battery,objective,Unknown
"EV’s and a ignorant contract has hurt the autoworkers! You and your socialist party want Electric Vehicles and “green energy”, this is a direct result  McMorrow, your blame playbook is old news, why don’t you take responsibility for your actions",positive,Sustainability,subjective,Unknown
May be EV charging chala rare undhi but demand was huge u can go for it,neutral,Charging,subjective,Unknown
Sorta like billions for EV charging stations you never built.,neutral,Charging,objective,Unknown
"cant afford gas or an electric car, but i have guns and i see teslas everywhere",neutral,Cost & Value,objective,Unknown
But you own a electric vehicle obviously so it doesn't worry you so jog on.,negative,Cost & Value,subjective,Unknown
"Here is the thermal camera overlay to explain the science behind albedo values, which our Founder Cherise was describing in the video. Including albedo value impact on thermal efficiency for EV charging.",negative,Charging,subjective,Unknown
"It's cool you can afford an electric vehicle.  Also soon, all of us will pay higher electric bills.    Those with electric cars and those without. When demand goes up so does price!  Buckle up for green energy.",positive,Cost & Value,subjective,United States
"All this “I can refuel my ICE car in 5 minutes” is pushing EV charging in the wrong direction.   

We don’t need gigawatt charging.  We need Level 2 charging everywhere.  Stop at Walmart and plug the car in for 45 minutes while shopping.  At work plug the car in.  At home plug",negative,Charging,subjective,Unknown
Petrol prices have shot up.  I bet Lucy wishes she owns an electric car now.,neutral,Cost & Value,subjective,Unknown
"Ford defaulted on their federal loan obligations procured for the construction of advanced electric vehicle production facilities. He then drives a Chinese vehicle for over month and remarkably, they incur absolutely zero news backlash or political reprehension!",neutral,Cost & Value,subjective,China
Do you think people with electric cars never owned a crappy combustion car before or something?,negative,Build & Comfort,subjective,Unknown
"Also, 2ndly the infrastructure for EV charging  stations in and around Jamaica especially is outside of Kgn & St. Andrew is almost none existing. So that's an issue in itself.",neutral,Charging,objective,Jamaica
"If we wanted to and focused money on it. We would have had battery electric cars in the 70s and or solar self charging cars.

So gaslighted most of us are.",positive,Charging,subjective,United States
Buy an electric car and charge it at home,neutral,Cost & Value,objective,Unknown
Electric car battery minirals have to come from somewhere,neutral,Range & Battery,objective,Unknown
Umm EV are actually way cheaper to maintain what’s lacking is knowledge in this area as a  EV driver on my second electric car it is a fact that it cost less to maintain.,neutral,Cost & Value,subjective,Unknown
"Well I disagree and I think anyone with half a brain would. Climate change has impacted us and will continue to do so. We don't need to go full retard with climate change but we dont need to dismiss it either. Pierre Poilievre knows this. Sure keep electric cars as an option, go",neutral,Sustainability,subjective,United States
"The above is a foreign disinfo account, and almost certainly full of shit. ""Account based in
Lao People's Democratic Republic"" 
https://
driving.ca/auto-news/tech
nology-news/electric-vehicle-ev-battery-cost-price-parity-department-energy
…",neutral,Cost & Value,subjective,Lao People's Democratic Republic
If this were an electric car it would be a headline,neutral,Cost & Value,subjective,Unknown
"All of you will receive prison and\or the death penalty immediately\permanently 

Why did all of you hold me here the entire way through each time

12 years a slave minimum I am here with you, all of you

Electric Vehicle White P3 

MKUltra Traumatization & Torture all the",negative,Cost & Value,subjective,Unknown
"If the electric car industry had tried this, many more cars would have been sold since the grid would have been there to support them. Over a year ago Musk said that the US grid is about 1/2 of what is actually necessary for wide use of electric vehicles.",neutral,Charging,subjective,United States
Except electric car guys we all know what community they part of,neutral,Cost & Value,objective,Unknown
At least she's riding in a battery powered electric car.,neutral,Range & Battery,subjective,Unknown
"@grok
 are any other countries blocked by the USA from selling electric cars in USA?",neutral,Cost & Value,subjective,United States
"@elonmusk
 how do you justify your environment friendly electric cars when you support a needless israeli-led war filled with destruction, fires, fuel, smoke and toxic chemicals. Allow me to call you the biggest drama in history.",neutral,Sustainability,subjective,Unknown
"Byd 2026 model,  but there is no more pop our handle. How will I show off in a spaceship now? 

They say they people die in electric cars when they are locked in.",neutral,Cost & Value,subjective,Unknown
"Absolutely, but for the convenience of the EV charging station",neutral,Charging,subjective,Unknown
Really?  Imagine that.  The Trojan Horse that gave the world electric cars and space-based Internet thinks this 'freedom of speech' thing may have gotten out of hand.,neutral,Cost & Value,subjective,Unknown
"The $60k figure was the fully-loaded loss per unit including fixed costs, depreciation on the Rouge Electric Vehicle Center buildout, etc. On a pure variable/marginal cost basis it was closer to $30k to $40k per truck. Still brutal either way.

The real lesson Farley's pointing",neutral,Cost & Value,subjective,Unknown
"Sure Chinese electric cars are crap, Chinese bridges are crap Chinese apartment complex are crap
So it is not the amount of things you build but the quality that makes a difference. Crap can be painted in gold but is is still crap!!!",negative,Build & Comfort,subjective,China
"de electric cars nva came, anaa February no end yet?? settings no",neutral,Cost & Value,subjective,Unknown
You do understand that an electric car is better than a ICE car and save customers money right?,positive,Cost & Value,subjective,Unknown
"That rtard just wants the talking point. They wanted the simplest way to offer an electric vehicle on an existing platform, then he came in at the last minute and decided to slap a pony on the front.",neutral,Cost & Value,objective,Unknown
Electric cars that will run off solar power through underground tunnels with all of it delivered to the Moon and Mars now will have a currency system in place for when you land!,neutral,Cost & Value,subjective,Unknown
"Elon, you are much too busy with a rocket to Mars and electric cars.",neutral,Software/Tech,subjective,Unknown
Gotta keep those LIBERALS electric vehicles running somehow bro,neutral,Cost & Value,objective,Unknown
"If PG&E, SocalEd, SDG&E can't raise rates to the moon,they won't fund Newsome's presidential campaign. If gas is cheap people won't buy electric cars and won't be at their mercy. 
It's not about the environment, it's about corporate profits and political ambition.",neutral,Cost & Value,subjective,Unknown
"I'm honestly starting to believe this very objective proposition you just made.

If not, what on earth is this that they are doing in 2026 when other countries are busy  landing on the moon and building electric cars 

God save Nigeria from those  stone age folks.",neutral,Cost & Value,objective,Nigeria
What's happening -- and upsetting a good many people -- is that there are no fewer than a half dozen new types of electric vehicles on the road. Scooters rank among the most popular.,positive,Cost & Value,subjective,Unknown
Vs taking out a loan on an electric car? Help me with the logic,neutral,Cost & Value,subjective,Unknown
"Fix California’s energy system.
My plan:
 Microgrids to stop blackouts
 Solar + battery incentives
 Modern grid infrastructure
 EV charging expansion
Affordable, reliable, climate-ready power.
#EnergySecurity #CleanEnergy #California #sf4gov",positive,Charging,subjective,United States
Yet healthcare and education are last but yeah a damn tunnel for a electric car is so needed,neutral,Cost & Value,objective,Unknown
"Climate-Ready Energy Plan
Affordable, reliable, clean power for Californians.
 Community microgrids for resilience
 Grid upgrades + energy storage
 Solar & battery incentives
 EV charging expansion
 Lower costs with diversified energy
Clean energy that works for",positive,Sustainability,subjective,United States
This one's for camping. Not intended for EV charging unless I get reaaaaaaaaaaal desperate,negative,Charging,subjective,Unknown
"Bhai, Elon Musk ka janam 28 June 1971 ko Pretoria, South Africa mein hua. Wo SpaceX, Tesla, Neuralink, Boring Company aur xAI ke founder aur CEO hain. X (pehle Twitter) ke owner bhi. Major achievements: reusable rockets, electric cars, Starlink. 2026 mein duniya ke sabse ameer",neutral,Software/Tech,subjective,South Africa
"I am just responding to a 
Tweet. But thankyou for the check out.
I do think the Tesla is the only electric car 
Worth its salt.",neutral,Software/Tech,subjective,Unknown
"Sup? Why not promote Nissans or Mercedes instead of death traps? I mean if you're going for common sense electric vehicles, you could do better...",neutral,Cost & Value,subjective,Unknown
"I'm electrified and vastly more resilient with my electric cars in a power outage than is a traditional gasoline car.  Heck...i can use it to power my refrigerator and drive, and can charge it with my solar.",neutral,Charging,subjective,Unknown
Every time they want to add more requirements for electric vehicles and tools I ask what it plan to build more power sources that work? A waste-to-energy plant would even be welcome at this point.,positive,Cost & Value,subjective,Unknown
Are you angry about competitively priced Chinese electric cars?,neutral,Cost & Value,subjective,China
Lol He’s a grown ass man! He doesn’t have a stroller! It’s one of them lil small electric car like this,positive,Cost & Value,subjective,Unknown
"It is good to see this kind of honesty about the mistakes made by legacy car companies. Building profitable electric vehicles is not as simple as just swapping out the engine for a battery. Tesla set the standard a long time ago, and it seems others are finally realizing they",positive,Software/Tech,subjective,Unknown
"Same with 
@elonmusk
 these white ppl are not smart they're just holding yt supremacy none of these ppl created anything..we had electric cars during the world fairs .so Elon not that smart people.  Only 2dumb Whyte people that believe anything",neutral,Software/Tech,subjective,Unknown
"As electric cars has ranges up to 1 000 km, tow and recharge rapidly isn't it time to change your narrative or narrow view? 
They are soon (2028) in majority of the Norwegian fleet, hard to call them second cars when they are more than possible first cars.",neutral,Range & Battery,subjective,Unknown
I’m going to write an article about electric vehicles being a symbol of white supremacy. Let’s see how they like it.,neutral,Cost & Value,objective,Unknown
The job cannot have an all electric vehicle.,neutral,Cost & Value,objective,Unknown
"Hate to ruin the laugh, but electric cars don’t drive while they are charging",negative,Charging,subjective,Unknown
"Nope. People should be free to choose what makes sense for them. Having solar panels and an electric car might work great in Arizona, but what about Alaska where it gets so cold that many electric engines don't even work?",positive,Cost & Value,subjective,Unknown
"Range‑Extended Electric Vehicle (REEV)

A Range‑Extended Electric Vehicle (REEV) uses a small internal combustion engine solely as a generator to produce electricity for the traction battery. The combustion engine does not power the wheels directly.

Key characteristics:
The EV",neutral,Range & Battery,subjective,Unknown
"Differences Among BEV, PHEV, HEV, REEV, FCEV, and MHEV

Below is a clear overview of major electrified‑vehicle types and their technical distinctions.

Battery Electric Vehicle (BEV)

A BEV is powered entirely by electric motors using a large traction battery pack—typically",neutral,Range & Battery,objective,Unknown
EV Charging station,neutral,Charging,objective,Unknown
How many production electric vehicles in the world are capable of charging at speeds above 350 kW?,neutral,Charging,objective,Unknown
"Selling a great stock like Tesla for “political” reasons is foolish .. 

Tesla is more than just an electric car company and Elon Musk is THE brightest entrepreneur in a generation ..

Foolishness…..",positive,Software/Tech,subjective,Unknown
Grid upgrades for EV charging create far higher copper demand than the vehicles themselves,neutral,Charging,subjective,Unknown
"I’ll stick with my gas powered P Up, been driving them for 50 years.  Almost been run over by 2 electric vehicles as they crept through parking lots silently, so you don’t hear them coming!!",neutral,Cost & Value,subjective,Unknown
"Diesel Subs when running battery electric are silent
As well their 50 cycle systems will just add to the huge 50 cycle background of everything in the water but US Military Ships 
Lots of nice things about non-Nic submarines",positive,Range & Battery,subjective,United States
"$7.5 Billion to build 8 EV charging stations. Stick to filling pot holes in South Bend 
@PeteButtigieg",neutral,Charging,objective,Unknown
"It reflects optimism in the XRP community, where holders often link price rallies to real-world purchases like electric vehicles, amid Tesla's growing European production.",neutral,Cost & Value,objective,Unknown
electric cars are for bitches,neutral,Cost & Value,objective,Unknown
Isn’t buying a car simple? What makes buying an electric car hard?,neutral,Cost & Value,subjective,Unknown
"I bet that dude doesn’t even know anything about electric cars. 
@itskyleconner",neutral,Cost & Value,subjective,Unknown
"If I just did what you all wanted 

Everyone and Everything Responsible here

If I just die

The MKUltra Traumatization & torture plus more would end 

The rape torture murder defamation trafficking plus more on me would end

I would get to leave that Electric Vehicle White P3",neutral,Cost & Value,subjective,Unknown
Electric cars are amazingly smooth.,neutral,Cost & Value,subjective,Unknown
Trying to find out what areas are changing back to 30mph for their electric cars.,neutral,Cost & Value,objective,Unknown
I think it’s far crazier that the model s dethroned the king of luxury sedans. The Mercedes s 500. Outselling it. Beginning a catalyst of the entire industry to electric vehicles.  Only to can the entire line and say fuck it.,neutral,Cost & Value,subjective,Unknown
I thought you wanted bike lanes and electric cars and would be happy about higher gas prices?,positive,Cost & Value,subjective,Unknown
Such a privileged position. Spend money to stop the weather and make life cheaper. Smells own fart. Drives off in 60k electric car,positive,Cost & Value,subjective,Unknown
